tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
0.01,0.001,29.0,31.963253725646275,6.1649746591143675,4.701635171364332,"[1.94303340847186e-5, 2.039181471713603e-5, 2.0391814717136e-5, -1.249643316196774e-7, 0.0, 0.0]","[2.160315191366297e-5, 2.081090117714701e-5, 2.0810901177147038e-5, 1.9464633171324588e-7, 0.0, 0.0]","[0.0010864089144721847, 0.00020954323000549108, 0.00020954323000551818, 0.00015980533166646163, 0.0, 0.0]"
0.0001,0.001,29.0,32.12120298763144,5.2255749892532775,4.911526277185038,"[-1.1461037112248383e-6, -1.438500652503296e-7, -1.4385006525034316e-7, -1.7147416205137604e-7, 0.0, 0.0]","[1.0374512903320493e-6, 2.1137730304556586e-7, 2.113773030455523e-7, 1.6240460867695152e-7, 0.0, 0.0]","[0.0010917775007784438, 0.00017761368414794773, 0.00017761368414794773, 0.0001669393853641638, 0.0, 0.0]"
1.0e-6,0.001,29.0,32.44358244799578,5.472851342763164,4.921736957542645,"[-1.002589717601013e-6, -8.572414816880754e-8, -8.572414816880754e-8, -1.690120355041949e-7, 0.0, 0.0]","[1.2028801942831374e-6, 2.863127250102385e-7, 2.863127250102521e-7, 1.6556084316812026e-7, 0.0, 0.0]","[0.0011027349559420752, 0.00018601843658952303, 0.0001860184365895298, 0.00016728643933615757, 0.0, 0.0]"
1.0e-8,0.001,29.0,32.431858923514405,5.468940152748813,4.921283798533875,"[-1.0050788526790283e-6, -8.731398379373213e-8, -8.731398379373213e-8, -1.6898880518313544e-7, 0.0, 0.0]","[1.1995941102076945e-6, 2.844570120917031e-7, 2.844570120916895e-7, 1.655532683658323e-7, 0.0, 0.0]","[0.0011023364814433613, 0.0001858854979427176, 0.00018588549794271083, 0.00016727103677448388, 0.0, 0.0]"
1.0e-10,0.001,29.0,32.43169226234671,5.468840379963741,4.9212871608521604,"[-1.0050709354701116e-6, -8.731224970841755e-8, -8.731224970841755e-8, -1.689885700809243e-7, 0.0, 0.0]","[1.1995906980206842e-6, 2.844519637609311e-7, 2.844519637609311e-7, 1.6555373203379527e-7, 0.0, 0.0]","[0.0011023308167453978, 0.00018588210673467433, 0.00018588210673467433, 0.00016727115105735977, 0.0, 0.0]"
1.0e-12,0.001,29.0,32.431697377900676,5.468838861132774,4.921287315764782,"[-1.0050711570036806e-6, -8.731213838755292e-8, -8.731213838756647e-8, -1.689885746096948e-7, 0.0, 0.0]","[1.1995908242354064e-6, 2.8445197183376496e-7, 2.844519718337514e-7, 1.6555373803577073e-7, 0.0, 0.0]","[0.0011023309906195435, 0.00018588205511065894, 0.00018588205511065894, 0.00016727115632273276, 0.0, 0.0]"
0.01,1.0e-5,29.0,1256.0456032650818,1221.3477071561665,2.7103969091607003,"[1.9922243695055133e-5, 1.9951213954190572e-5, 1.9951213954190545e-5, 4.657796679801701e-8, 0.0, 0.0]","[2.077608614306341e-5, 2.0781469251798134e-5, 2.078146925179812e-5, 4.842045717095885e-8, 0.0, 0.0]","[0.042692122400413944, 0.041512764880378084, 0.041512764880378764, 9.212451864709225e-5, 0.0, 0.0]"
0.0001,1.0e-5,29.0,35.29541467202533,-8.280657323549171,9.558771916540945,"[-6.002144633986651e-8, 5.143355117273574e-8, 5.143355117272219e-8, -6.1942816906918536e-9, 0.0, 0.0]","[-3.602811107505667e-8, 4.580447472688257e-8, 4.580447472686902e-8, 3.0363939748827746e-10, 0.0, 0.0]","[0.001199666763240492, -0.00028145382229265853, -0.00028145382229265853, 0.0003248960544090065, 0.0, 0.0]"
1.0e-6,1.0e-5,29.0,32.17546544229648,5.0444842440767905,5.081957194012159,"[9.092795942992053e-8, 9.919071553953895e-8, 9.919071553953895e-8, -1.7329624885138632e-9, 0.0, 0.0]","[1.1280039631249941e-7, 1.0261988623581398e-7, 1.0261988623582754e-7, 1.7216818014139312e-9, 0.0, 0.0]","[0.0010936218441289437, 0.00017145853481375183, 0.00017145853481442946, 0.0001727322144963897, 0.0, 0.0]"
1.0e-8,1.0e-5,29.0,32.67036955067514,5.526016041424602,4.975066875292361,"[8.84559865106253e-8, 9.767124589179241e-8, 9.76712458917653e-8, -1.690967431480422e-9, 0.0, 0.0]","[1.1066485236865612e-7, 1.0142775525122784e-7, 1.0142775525120073e-7, 1.6910142965413015e-9, 0.0, 0.0]","[0.001110443292901541, 0.00018782546797177152, 0.00018782546797177152, 0.00016909908640108616, 0.0, 0.0]"
