tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
0.01,0.001,18.0,148.17157516833674,55.40782628422386,98.03182423158967,"[-5.582061462045221e-6, -2.3763541114810833e-6, -2.3763541114810833e-6, -3.4986198980138225e-6, 0.0, 2.117582368135751e-22]","[4.490437509178436e-6, 1.3901933697853857e-6, 1.3901933697853993e-6, 3.165448075874273e-6, 0.0, -2.117582368135751e-22]","[0.005036249485611829, 0.0018832737406332344, 0.0018832737406332411, 0.0033320339869440476, 0.0, -2.1175823681357508e-19]"
0.0001,0.001,18.0,152.8661877954259,56.42533294280931,99.68857878944904,"[-5.179670574597312e-6, -1.9063999824242892e-6, -1.9063999824242824e-6, -3.3970998447597194e-6, 0.0, 2.117582368135751e-22]","[5.211961677101547e-6, 1.929316195740836e-6, 1.9293161957408225e-6, 3.3795920150569013e-6, 0.0, -1.0587911840678754e-22]","[0.00519581612584943, 0.0019178580890825627, 0.0019178580890825525, 0.00338834592990831, 0.0, -1.5881867761018131e-19]"
1.0e-6,0.001,18.0,152.91100207321574,56.4561933073664,99.64931036373765,"[-5.20471335970463e-6, -1.9308893600366553e-6, -1.9308893600366553e-6, -3.3943960020950538e-6, 0.0, 2.117582368135751e-22]","[5.189965304684528e-6, 1.9069246630754491e-6, 1.9069246630754424e-6, 3.3796264443936044e-6, 0.0, -1.0587911840678754e-22]","[0.005197339332194579, 0.0019189070115560522, 0.0019189070115560487, 0.003387011223244329, 0.0, -1.5881867761018131e-19]"
1.0e-8,0.001,18.0,152.85391770063526,56.39846388446998,99.67011968803781,"[-5.201678187652765e-6, -1.927777492030613e-6, -1.927777492030613e-6, -3.3960120795195273e-6, 0.0, 2.117582368135751e-22]","[5.189119959954165e-6, 1.9061121646699657e-6, 1.9061121646699657e-6, 3.379424956085614e-6, 0.0, -1.0587911840678754e-22]","[0.005195399073803465, 0.0019169448283502895, 0.0019169448283502895, 0.0033877185178025704, 0.0, -1.5881867761018131e-19]"
1.0e-10,0.001,18.0,152.85420170989784,56.398710362044206,99.67043164812411,"[-5.20169550504557e-6, -1.9277920236864126e-6, -1.927792023686426e-6, -3.396034462561935e-6, 0.0, 2.117582368135751e-22]","[5.1891219491186514e-6, 1.9061143882191371e-6, 1.9061143882191507e-6, 3.3794237796588787e-6, 0.0, -1.0587911840678754e-22]","[0.005195408727082111, 0.001916953205952775, 0.0019169532059527883, 0.0033877291211104068, 0.0, -1.5881867761018131e-19]"
1.0e-12,0.001,18.0,152.85420215843035,56.39871082357066,99.6704270175402,"[-5.201695535184866e-6, -1.9277920491788246e-6, -1.927792049178838e-6, -3.396034407860186e-6, 0.0, 2.117582368135751e-22]","[5.189121949469979e-6, 1.906114394100656e-6, 1.9061143941006628e-6, 3.379423519579932e-6, 0.0, -1.0587911840678754e-22]","[0.005195408742327422, 0.0019169532216397403, 0.0019169532216397505, 0.003387728963720059, 0.0, -1.5881867761018131e-19]"
0.01,1.0e-5,18.0,210.4233299581452,455.6057610563522,581.4433583064923,"[-7.010268224517573e-7, -8.956097018218438e-7, -8.95609701821837e-7, -4.003445932722103e-7, 0.0, 2.752857078576476e-21]","[-5.579839498821071e-7, -5.858951999472401e-7, -5.858951999472673e-7, -5.087431315651349e-9, 0.0, 4.341043854678289e-21]","[0.0071521436284825105, 0.015485725093730179, 0.015485725093728486, 0.01976285809782795, 0.0, 7.940933880509064e-17]"
0.0001,1.0e-5,18.0,135.44898294367567,42.296929750015245,78.45533466823306,"[-2.8951297719684845e-7, -2.58042517998545e-7, -2.5804251799855854e-7, -1.893577889879925e-8, 0.0, 2.8587361969832636e-21]","[-1.9743662990800571e-7, -2.2928964951422662e-7, -2.2928964951424694e-7, 3.4397073696916064e-8, 0.0, 4.235164736271502e-21]","[0.004603817364442137, 0.0014376434242159182, 0.0014376434242155795, 0.0026666426297857655, 0.0, 6.88214269644119e-17]"
1.0e-6,1.0e-5,18.0,153.55867924442066,56.92808775020909,99.73827366106296,"[-5.2443084232061605e-8, -1.9608291563510158e-8, -1.9608291563496605e-8, -3.375444967168566e-8, 6.776263578034403e-21, 2.8587361969832636e-21]","[5.194398440473147e-8, 1.9090635990325056e-8, 1.909063599031828e-8, 3.4046250813636535e-8, 0.0, 4.235164736271502e-21]","[0.005219353431839653, 0.0019349463776917606, 0.001934946377690744, 0.00339003502426611, -3.388131789017201e-16, 6.88214269644119e-17]"
1.0e-8,1.0e-5,18.0,153.07818558278765,56.47028685714763,99.73301172558402,"[-5.2041103315981464e-8, -1.9205336773220425e-8, -1.9205336773220425e-8, -3.390301030407436e-8, 6.776263578034403e-21, 2.8587361969832636e-21]","[5.2019332367967614e-8, 1.9182384058330298e-8, 1.918238405830997e-8, 3.3894113190206356e-8, 0.0, 4.235164736271502e-21]","[0.005203021784197453, 0.001919386041577536, 0.0019193860415765195, 0.003389856174714035, -3.388131789017201e-16, 6.88214269644119e-17]"
