sysnames, ref,  LDA, PBEsol, PBE, RPBE, revTPSS, oTPSS, TPSS, MS0, MS2, mBEEF, vdW-DF, vdW-DF2, optPBE-vdW, C09-vdW, optB88-vdW, BEEF-vdW, mBEEF-vdW
Li_bcc, 3.451, -0.08043442866, -0.00772381622, -0.0155250626, 0.02646292117, -0.0046482835, 0.02618922038, -0.00117887573, -0.03233808377, -0.03995207291, -0.05044155723, 0.0130783426, -0.04620563002, 0.00140969126, 0.03483993713, -0.00071056623, -0.05776641125, 0.0071703807
Na_bcc, 4.207, -0.14249440337, -0.03200890859, -0.01095872282, 0.07495142343, -0.01277876326, 0.05469451563, 0.00494373014, 3.240747e-05, -0.03272676634, -0.05382302705, 0.04464484719, -0.03297210452, 0.00642598794, 0.01222869728, -0.01260051766, -0.02219918843, 0.01578856057
K_bcc, 5.211, -0.16717068175, 0.01182991431, 0.07171960234, 0.23051184198, 0.10161012366, 0.24865779733, 0.14203021978, 0.11511113266, 0.05948678504, 0.06186981997, 0.07106423425, -0.06624235028, -0.00941818291, -0.02100597926, -0.06050415738, 0.08236580602, 0.10687575064
Rb_bcc, 5.58, -0.20706888461, -0.00579519564, 0.08934541805, 0.28519333818, 0.11740198323, 0.3417643715, 0.16957421151, 0.166132243, 0.10016174669, 0.14205695146, 0.03628074745, -0.05736099948, -0.03286926834, -0.06497518603, -0.07771526728, 0.13427078963, 0.14927033981
Ca_fcc, 5.555, -0.20057050547, -0.07998499137, -0.01436436789, 0.08485030167, -0.0320761869, 0.03572389019, -0.01211291123, -0.00671564922, -0.0446923114, -0.00495902306, 0.00353197519, -0.07620960405, -0.0620673113, -0.11131383741, -0.11180125685, 0.02173274529, -0.02446385695
Sr_fcc, 6.042, -0.24171579507, -0.11238431751, -0.00635760751, 0.12516036742, -0.03103992601, 0.08611567075, -0.00250376316, 0.05023608223, -0.01550522327, 0.08110457272, 0.0596881758, 0.01281868495, -0.01262762451, -0.1083878837, -0.07617631619, 0.0353504285, 0.01960784779
Ba_bcc, 5.004, -0.2304831298, -0.1072521106, 0.02804234026, 0.16495325245, -0.02162750008, 0.1540324669, 0.00218192933, 0.0977383001, 0.02854447642, 0.14131060718, 0.06480102173, 0.04481590359, -0.02190660524, -0.14913464327, -0.08781573111, 0.00888732372, 0.04235752658
V_bcc, 3.024, -0.07073778155, -0.04083218272, -0.00807746688, 0.02902350354, -0.02696869405, -0.0113285353, -0.02457068714, -0.03116191485, -0.03161557043, -0.04766654363, 0.04200925599, 0.03958068312, 0.01860660148, -0.01585924324, 0.00644866785, 0.00094053151, -0.05370498592
Nb_bcc, 3.293, -0.03648742831, -0.01013584689, 0.02422990576, 0.0432752467, 0.00652157042, 0.03333981613, 0.01457164482, 0.00677865232, 0.00545320814, -0.01742394435, 0.07715665256, 0.09312202716, 0.05221579871, 0.01266525106, 0.04152051067, 0.04353460018, -0.01555372072
Ta_bcc, 3.299, -0.0267081652, -0.00038053423, 0.03407612343, 0.05292257218, 0.00362351488, 0.02666005611, 0.017978, -0.00524859005, -0.00313880847, -0.0271598772, 0.08059495682, 0.09633869232, 0.05808789066, 0.02279139562, 0.04778391782, 0.05136801301, -0.0354722537
